frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,1,92,9,12,22,0
26,1.04,1,93,9,13,23,0
26,1.04,2,294,13,12,21,0
27,1.08,1,93,9,11,22,0
27,1.08,2,292,7,13,28,0
28,1.12,1,93,9,11,22,0
28,1.12,2,292,7,13,28,0
29,1.16,1,94,9,12,24,0
29,1.16,2,292,7,13,29,0
30,1.2,1,93,9,13,24,0
30,1.2,2,294,13,11,23,0
31,1.24,1,94,9,12,24,0
31,1.24,2,293,7,13,30,0
32,1.28,1,94,9,12,25,0
32,1.28,2,294,6,12,31,0
33,1.32,1,94,9,12,25,0
33,1.32,2,294,7,12,30,0
34,1.36,1,95,9,11,24,0
34,1.36,2,294,12,14,25,0
35,1.4,1,95,9,13,23,0
35,1.4,2,294,7,14,30,0
36,1.44,1,95,10,11,22,0
36,1.44,2,295,15,13,22,0
36,1.44,3,294,137,18,13,0
37,1.48,1,95,9,13,24,0
37,1.48,2,294,7,16,31,0
38,1.52,1,96,9,12,24,0
38,1.52,2,295,13,15,24,0
39,1.56,1,96,10,12,22,0
39,1.56,2,294,4,16,33,0
40,1.6,1,96,10,12,23,0
40,1.6,2,296,15,14,22,0
41,1.64,1,96,10,12,23,0
41,1.64,2,293,7,17,30,0
42,1.68,1,96,9,12,24,0
42,1.68,2,296,7,16,30,0
43,1.72,1,97,9,11,25,0
43,1.72,2,295,7,15,30,0
44,1.76,1,95,9,15,26,0
44,1.76,2,293,6,17,31,0
45,1.8,1,96,9,12,26,0
45,1.8,2,297,7,13,30,0
46,1.84,1,96,9,12,25,0
46,1.84,2,297,13,15,23,0
46,1.84,3,299,129,13,14,0
47,1.88,1,96,9,13,25,0
47,1.88,2,295,9,16,28,0
48,1.92,1,96,9,14,26,0
48,1.92,2,298,14,14,23,0
49,1.96,1,96,9,13,30,0
49,1.96,2,296,7,16,29,0
50,2.0,1,96,9,13,25,0
50,2.0,2,300,9,12,27,0
51,2.04,1,95,10,13,30,0
51,2.04,2,294,8,18,28,0
52,2.08,1,95,10,13,24,0
52,2.08,2,294,7,20,29,0
53,2.12,1,95,10,14,25,0
53,2.12,2,296,7,18,30,0
54,2.16,1,95,10,13,29,0
54,2.16,2,296,15,18,21,0
55,2.2,1,94,10,14,25,0
55,2.2,2,300,15,14,21,0
56,2.24,1,96,10,12,29,0
56,2.24,2,295,10,19,25,0
57,2.28,1,95,10,13,24,0
57,2.28,2,295,7,21,28,0
58,2.32,1,94,10,14,31,0
58,2.32,2,302,14,12,15,0
59,2.36,1,96,10,12,28,0
59,2.36,2,302,15,12,14,0
60,2.4,1,94,10,14,24,0
60,2.4,2,296,15,18,13,0
61,2.44,1,96,9,12,25,0
62,2.48,1,96,10,13,25,0
63,2.52,1,96,9,12,26,0
64,2.56,1,97,10,11,30,0
65,2.6,1,96,10,12,25,0
66,2.64,1,94,9,14,31,0
67,2.68,1,95,9,13,31,0
68,2.72,1,96,10,12,31,0
68,2.72,4,370,269,14,15,0
69,2.76,1,96,10,14,31,0
69,2.76,4,368,267,16,17,0
70,2.8,1,95,10,13,25,0
70,2.8,4,366,267,18,17,0
71,2.84,1,95,10,13,24,0
71,2.84,4,366,264,18,20,0
72,2.88,1,94,10,14,31,0
72,2.88,4,365,264,19,20,0
73,2.92,1,94,10,14,24,0
73,2.92,4,365,264,19,20,0
74,2.96,1,94,10,14,23,0
74,2.96,4,363,264,21,20,0
