frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,1,136,97,83,177,0
26,1.04,1,136,96,83,178,0
27,1.08,1,173,101,46,173,0
27,1.08,2,134,95,34,112,0
28,1.12,1,173,101,46,173,0
28,1.12,2,134,95,34,112,0
29,1.16,1,174,101,45,177,0
29,1.16,2,133,95,33,111,0
30,1.2,1,173,101,46,180,0
30,1.2,2,132,95,30,111,0
31,1.24,1,173,101,46,180,0
31,1.24,2,128,96,31,110,0
32,1.28,1,173,101,46,180,0
32,1.28,2,122,96,37,110,0
33,1.32,1,172,101,47,179,0
33,1.32,2,119,97,40,109,0
34,1.36,1,173,101,46,179,0
34,1.36,2,118,97,41,108,0
35,1.4,1,171,101,48,179,0
35,1.4,2,120,97,38,108,0
36,1.44,1,171,101,48,175,0
36,1.44,2,119,97,38,108,0
37,1.48,1,171,101,49,179,0
37,1.48,2,119,116,37,88,0
37,1.48,3,126,96,10,18,0
38,1.52,1,172,101,48,173,0
38,1.52,2,118,96,36,106,0
39,1.56,1,172,101,47,179,0
39,1.56,2,116,117,35,84,0
39,1.56,3,120,95,14,19,0
39,1.56,4,52,137,11,24,0
40,1.6,1,172,101,47,179,0
40,1.6,2,112,94,34,107,0
40,1.6,4,54,139,11,44,0
41,1.64,1,171,101,48,179,0
41,1.64,2,110,93,32,108,0
41,1.64,4,55,139,17,45,0
42,1.68,1,171,101,48,179,0
42,1.68,2,108,92,31,109,0
42,1.68,4,48,111,29,71,0
43,1.72,1,170,101,49,179,0
43,1.72,2,104,92,33,109,0
43,1.72,4,53,122,29,60,0
44,1.76,1,172,101,47,183,0
44,1.76,2,98,92,38,108,0
44,1.76,3,59,87,13,14,0
44,1.76,4,55,111,28,78,0
45,1.8,1,172,101,47,173,0
45,1.8,2,96,92,40,108,0
45,1.8,3,60,85,12,16,0
45,1.8,4,51,111,35,79,0
46,1.84,1,172,101,47,176,0
46,1.84,2,95,93,40,108,0
46,1.84,3,58,84,16,18,0
46,1.84,4,49,112,37,79,0
47,1.88,1,172,101,47,183,0
47,1.88,2,92,93,42,108,0
47,1.88,3,58,84,16,19,0
47,1.88,4,48,110,39,81,0
48,1.92,1,171,101,48,177,0
48,1.92,2,90,94,40,107,0
48,1.92,3,58,85,20,18,0
48,1.92,4,50,111,37,80,0
49,1.96,1,172,101,47,177,0
49,1.96,2,88,114,43,87,0
49,1.96,3,58,85,21,18,0
49,1.96,4,56,111,31,80,0
49,1.96,5,104,94,12,19,0
50,2.0,1,171,101,48,181,0
50,2.0,2,88,115,41,86,0
50,2.0,4,56,85,31,106,0
50,2.0,5,104,94,12,18,0
51,2.04,1,172,101,47,181,0
51,2.04,2,87,93,40,104,0
51,2.04,4,57,81,30,110,0
52,2.08,1,172,101,47,179,0
52,2.08,2,87,93,37,102,0
52,2.08,4,56,81,31,110,0
53,2.12,1,172,101,47,179,0
53,2.12,2,87,93,37,102,0
53,2.12,4,56,81,31,110,0
54,2.16,1,172,101,48,183,0
54,2.16,2,63,81,55,115,0
55,2.2,1,171,101,49,183,0
55,2.2,2,65,81,51,115,0
56,2.24,1,171,101,49,183,0
56,2.24,2,68,81,45,115,0
57,2.28,1,171,101,49,183,0
57,2.28,2,68,81,44,116,0
58,2.32,1,171,101,49,177,0
58,2.32,2,70,81,40,126,0
59,2.36,1,171,100,49,184,0
59,2.36,2,64,82,45,121,0
60,2.4,1,171,101,49,183,0
