frame,tp,fg_pixels,fp,bg_pixels,person_raw_background,person_raw_shadow,person_raw_foreground
0,0,0,0,101376,0,0,0
1,0,0,0,101376,0,0,0
2,0,0,0,101376,0,0,0
3,0,0,0,101376,0,0,0
4,0,0,0,101376,0,0,0
5,0,0,0,101376,0,0,0
6,0,0,0,101376,0,0,0
7,0,0,0,101376,0,0,0
8,0,0,0,101376,0,0,0
9,0,0,0,101376,0,0,0
10,0,0,0,101376,0,0,0
11,0,0,0,101376,0,0,0
12,0,0,0,101376,0,0,0
13,0,0,0,101376,0,0,0
14,0,0,0,101376,0,0,0
15,0,0,0,101376,0,0,0
16,0,0,0,101376,0,0,0
17,0,0,0,101376,0,0,0
18,0,0,0,101376,0,0,0
19,0,0,0,101376,0,0,0
20,0,0,0,101376,0,0,0
21,0,0,0,101376,0,0,0
22,0,0,0,101376,0,0,0
23,0,0,0,101376,0,0,0
24,0,0,0,101376,0,0,0
25,0,0,0,101376,0,0,0
26,0,0,0,101376,0,0,0
27,0,0,0,101376,0,0,0
28,0,0,0,101376,0,0,0
29,0,0,0,101376,0,0,0
30,0,0,0,101376,0,0,0
31,0,0,0,101376,0,0,0
32,0,0,0,101376,0,0,0
33,0,0,0,101376,0,0,0
34,0,0,0,101376,0,0,0
35,0,0,0,101376,0,0,0
36,0,0,0,101376,0,0,0
37,0,0,0,101376,0,0,0
38,0,0,0,101376,0,0,0
39,0,0,0,101376,0,0,0
40,0,0,0,101376,0,0,0
41,0,0,0,101376,0,0,0
42,0,0,0,101376,0,0,0
43,0,0,0,101376,0,0,0
44,0,0,0,101376,0,0,0
45,0,0,0,101376,0,0,0
46,0,0,0,101376,0,0,0
47,0,0,0,101376,0,0,0
48,0,0,0,101376,0,0,0
49,0,0,0,101376,0,0,0
50,0,0,0,101376,0,0,0
51,0,0,0,101376,0,0,0
52,0,0,0,101376,0,0,0
53,0,0,0,101376,0,0,0
54,0,0,0,101376,0,0,0
55,0,0,0,101376,0,0,0
56,0,0,0,101376,0,0,0
57,0,0,0,101376,0,0,0
58,0,0,0,101376,0,0,0
59,0,0,0,101376,0,0,0
60,0,0,0,101376,0,0,0
61,0,0,0,101376,0,0,0
62,0,68,0,101269,0,68,0
63,0,134,0,101181,41,93,0
64,0,79,0,101236,30,49,0
65,0,23,0,101318,7,16,0
66,0,28,0,101327,23,5,0
67,0,54,0,101277,37,17,0
68,0,174,0,101069,81,93,0
69,0,324,0,100855,182,139,3
70,0,1523,0,99426,485,1015,23
71,0,3402,0,97449,826,2573,3
72,12,5624,0,95081,1781,3779,64
73,23,7828,0,92691,2993,4725,110
74,18,9603,0,90820,4542,4937,124
75,11,10792,0,89507,5607,5111,74
76,0,12145,0,88132,7034,5065,46
