frame,time_s,track_id,x,y,w,h,target_found
0,0.0,,,,,,0
1,0.04,,,,,,0
2,0.08,,,,,,0
3,0.12,,,,,,0
4,0.16,,,,,,0
5,0.2,,,,,,0
6,0.24,,,,,,0
7,0.28,,,,,,0
8,0.32,,,,,,0
9,0.36,,,,,,0
10,0.4,,,,,,0
11,0.44,,,,,,0
12,0.48,,,,,,0
13,0.52,,,,,,0
14,0.56,,,,,,0
15,0.6,,,,,,0
16,0.64,,,,,,0
17,0.68,,,,,,0
18,0.72,,,,,,0
19,0.76,,,,,,0
20,0.8,,,,,,0
21,0.84,,,,,,0
22,0.88,,,,,,0
23,0.92,,,,,,0
24,0.96,,,,,,0
25,1.0,1,0,110,8,18,0
25,1.0,2,0,170,22,36,0
25,1.0,3,0,221,39,41,0
25,1.0,4,0,262,10,26,0
25,1.0,5,2,109,30,64,0
25,1.0,6,18,206,28,16,0
25,1.0,7,31,239,25,25,0
25,1.0,8,32,160,23,36,0
25,1.0,9,64,244,26,28,0
25,1.0,10,66,206,25,20,0
25,1.0,11,76,121,48,40,0
25,1.0,12,86,173,10,30,0
25,1.0,13,89,213,89,75,0
25,1.0,14,96,172,24,53,0
25,1.0,15,124,178,12,36,0
25,1.0,16,140,176,31,25,0
25,1.0,17,147,33,14,21,0
25,1.0,18,149,273,22,10,0
25,1.0,19,176,31,18,10,0
25,1.0,20,222,99,21,17,0
25,1.0,21,240,101,25,31,0
25,1.0,22,257,62,17,25,0
25,1.0,23,274,76,28,18,0
26,1.04,2,6,142,28,30,0
26,1.04,3,0,238,13,38,0
26,1.04,4,0,278,14,10,0
26,1.04,5,14,121,24,21,0
26,1.04,6,73,210,18,14,0
26,1.04,7,17,236,51,26,0
26,1.04,8,28,160,26,28,0
26,1.04,9,47,226,19,24,0
26,1.04,10,61,206,29,21,0
26,1.04,11,76,123,47,39,0
26,1.04,12,90,187,10,21,0
26,1.04,13,90,223,86,65,0
26,1.04,14,96,187,24,37,0
26,1.04,15,92,159,22,27,0
26,1.04,16,95,225,13,14,0
26,1.04,20,223,99,20,18,0
26,1.04,21,238,101,27,31,0
26,1.04,22,257,63,17,26,0
26,1.04,23,269,76,33,21,0
27,1.08,1,0,170,8,36,0
27,1.08,2,0,128,26,43,0
27,1.08,3,0,228,12,60,0
27,1.08,6,144,176,16,30,0
27,1.08,7,24,236,36,35,0
27,1.08,8,24,160,30,28,0
27,1.08,9,12,211,23,24,0
27,1.08,10,74,212,22,14,0
27,1.08,11,78,123,55,39,0
27,1.08,12,90,187,8,22,0
27,1.08,13,93,213,72,75,0
27,1.08,14,96,205,18,19,0
27,1.08,15,98,168,15,36,0
27,1.08,16,53,251,29,17,0
27,1.08,18,94,272,11,16,0
27,1.08,20,222,98,25,19,0
27,1.08,21,236,101,29,33,0
27,1.08,22,257,62,16,28,0
27,1.08,23,266,76,37,25,0
28,1.12,1,0,220,10,39,0
28,1.12,2,0,91,9,92,0
28,1.12,3,0,260,8,25,0
28,1.12,7,24,241,28,20,0
28,1.12,8,12,123,16,41,0
28,1.12,9,8,206,51,35,0
28,1.12,10,56,206,34,20,0
28,1.12,11,79,119,52,45,0
28,1.12,12,90,190,8,19,0
28,1.12,13,72,213,91,57,0
28,1.12,14,97,208,25,24,0
28,1.12,15,92,163,20,38,0
28,1.12,18,92,243,21,23,0
28,1.12,20,223,102,17,16,0
28,1.12,21,242,100,23,34,0
28,1.12,23,256,63,46,38,0
28,1.12,24,96,260,55,28,0
28,1.12,25,125,179,11,35,0
28,1.12,26,155,208,16,32,0
29,1.16,2,0,112,8,86,0
29,1.16,3,0,251,14,25,0
29,1.16,5,29,160,30,29,0
29,1.16,7,0,218,29,24,0
29,1.16,8,10,142,15,27,0
29,1.16,9,39,206,21,22,0
29,1.16,10,73,212,21,14,0
29,1.16,11,79,121,52,49,0
29,1.16,12,89,174,31,58,0
29,1.16,13,96,225,38,41,0
29,1.16,15,97,166,16,38,0
29,1.16,18,54,251,20,16,0
29,1.16,20,223,103,19,15,0
29,1.16,21,242,100,23,34,0
